9378625;Martin Hulin;;https://d-nb.info/920723977;;;;;phd/dnb/Hulin92;17/07/2021;;;;;1-135;;;Technical University Munich, Germany;;;;;Evolutionsstrategien zur Schaltungspartitionierung.;;1992
9434702;Firas Bacha;;https://tel.archives-ouvertes.fr/tel-00874766;oa;;;;phd/hal/Bacha13;21/07/2020;;;;;;;;University of Valenciennes and Hainaut-Cambresis, France;;;;;Une approche MDA pour l'intégration de la personnalisation du contenu dans la conception et la génération des applications interactives. (An MDA approach for content personalization integration in the design and the generation of interactive applications).;;2013
3054377;Mats Björkman;;;;;;;books/daglib/0074392;09/07/2019;;;;;1-142;;;Swedish Institute of Computer Science, Kista, Sweden;SICS dissertation series;;;;Architectures for high performance communication.;10;1993
9405114;Mehdi Badii;;https://ethos.bl.uk/OrderDetails.do?uin=uk.bl.ethos.237653;;;;;phd/ethos/Badii81;05/04/2022;;British Library, EThOS;source;;;;;Loughborough University, UK;;;;;A study of two formal description languages and their application to PASCAL.;;1981
9425528;Sylvain Mongy;;https://tel.archives-ouvertes.fr/tel-00842718;oa;;;;phd/hal/Mongy08;21/07/2020;;;;;;;;Lille University of Science and Technology, France;;;;;Modélisation et analyse du comportement des utilisateurs exploitant des données vidéo.;;2008
9372612;George H. Polychronopoulos;;https://hdl.handle.net/1721.1/12791;;;;;phd/ndltd/Polychronopoulos92;04/05/2022;;ndltd.org (oai:dspace.mit.edu:1721.1/12791);source;;;;;Massachusetts Institute of Technology, Cambridge, MA, USA;;;;;Stochastic and dynamic shortest distance problems.;;1992
3058834;Ludwig Maximilian Lausser;;;;;;;books/daglib/0033461;02/06/2014;;;;;I-XIII, 1-206;;;Universität Ulm;;;;;Sparse and robust classification methods for high-dimensional datasets.;;2013
9422330;Sahbi Sidhom;;https://tel.archives-ouvertes.fr/tel-00141334;oa;;;;phd/hal/Sidhom02;21/07/2020;;;;;;;;Claude Bernard University Lyon 1, France;;;;;Plate-forme d'analyse morpho-syntaxique pour l'indexation automatique et la recherche d'information : de l'écrit vers la gestion des connaissances. (Morpho-syntactic Analysis Platform for Automatic indexing and Information retrieval : from text-writing to knowledge management).;;2002
9381348;Kai Schrader;;http://e-pub.uni-weimar.de/opus4/frontdoor/index/index/docId/2059|https://d-nb.info/1116094681|https://nbn-resolving.org/urn:nbn:de:gbv:wim2-20131021-20595;;;;;phd/dnb/Schrader13;17/07/2021;;;;;;;;Bauhaus University, Weimar, Germany;;;;;Hybrid 3D simulation methods for the damage analysis of multiphase composites.;;2013
9454789;Maciej Janik;;http://purl.galileo.usg.edu/uga_etd/janik_maciej_g_200808_phd|https://hdl.handle.net/10724/24941|https://www.base-search.net/Record/6a5f7ce61dce974ac481ce1ff51d2b521231f826cb65fba49b8416e9807ad023|https://www.base-search.net/Record/fc097c9e592e201ea05a22bb6434707e60b6cb93be4bbf156d950e72fcaeaf97;;;;;phd/basesearch/Janik08;04/05/2022;;base-search.net (ftunivgeorgia:oai:ugakr.libs.uga.edu:10724/24941);source;;;;;University of Georgia, Athens, GA, USA;;;;;Training-less ontology-based text categorization.;;2008
